"Record ID","Survey Identifier","Survey Timestamp","STUDY TITLE: Household Items for Sexual Pleasure: Investigating Cost, Safety & Effectiveness of Alternative Sex ToysWe invite you to participate in a research study being conducted by investigators from The University of Chicago Medical Center. The purpose of the study is to understand what household items are used for sexual pleasure and assess their cost, effectiveness, and safety.If you agree to participate, we would like you to agree to consent and complete the screening questions before getting access to the full set of questions. You are free to skip any questions that you prefer not to answer. It will take approximately 15 minutes in total time.No personal health information or identifying information will be collected in this survey. To help protect your confidentiality, the surveys you complete will be encrypted on an online database. The only people that will have access to your responses will be the team members while collecting data from the surveys. Taking part in this research study is completely voluntary. If you do not wish to participate in this study, please select the appropriate acknowledgment below.For questions about your rights as a research subject, please contact the University of Chicago BSD IRB at 773-702-6505.If you have any questions about the research study itself, please contact this project's principal investigator: Dr. Omer Raheem, oraheem@bsd.uchicago.edu. Thank you very much for your consideration of this research study.","Are you 18 years of age or older? ","Have you used household items as sex toy alternatives for the purpose of sexual pleasure? ","What is your country of origin?","Please list other country name:","What is your age?","What was your sex assigned at birth?","How would you describe your gender?","Please describe gender here:","What is your employment status?","Please describe other employment:","What is your career field?","Please list other career field:","What is your gross annual household income (i.e before taxes and deductions)?","Do you have access to conventional sex toys (e.g., vibrators, dildos, clitoris suckers, male masturbators, and prostate massagers)?","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Financial constraints)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Lack of awareness/education about existence/benefits of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Cultural or religious beliefs discouraging/prohibiting use of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Lack of privacy (i.e. living in shared space))","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Stigma/Shame (i.e. feelings of embarrassment, fear of judgment))","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Legal restrictions on sale or possession of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Other (enter below))","Please list other reason: ","Do you currently own any traditional sex toys?","If so, how would you categorize them? (select all that apply)  (choice=Vibrator)","If so, how would you categorize them? (select all that apply)  (choice=Dildo)","If so, how would you categorize them? (select all that apply)  (choice=Anal toys)","If so, how would you categorize them? (select all that apply)  (choice=Sleeves/ penis sleeves)","If so, how would you categorize them? (select all that apply)  (choice=Penis rings/ cock rings)","What household items have you used for sexual pleasure? (choice=Electric or pulsating toothbrush)","What household items have you used for sexual pleasure? (choice=Showerhead)","What household items have you used for sexual pleasure? (choice=Washing Machine)","What household items have you used for sexual pleasure? (choice=Massage Wand)","What household items have you used for sexual pleasure? (choice=Silk Scarves/Neckties)","What household items have you used for sexual pleasure? (choice=Ice Cubes)","What household items have you used for sexual pleasure? (choice=Produce (banana, cucumber, carrot))","What household items have you used for sexual pleasure? (choice=Furniture)","What household items have you used for sexual pleasure? (choice=Pillow)","What household items have you used for sexual pleasure? (choice=Other)","Please list other household item:","For electric or pulsating toothbrush usage, rate your satisfaction for personal use","For electric or pulsating toothbrush usage, how likely are you to recommend the use of this object to others?","For showerhead usage, rate your satisfaction for personal use","For showerhead usage, how likely are you to recommend the use of this object to others?","For washing machine usage, rate your satisfaction for personal use","For washing machine usage, how likely are you to recommend the use of this object to others?","For massage wand usage, rate your satisfaction for personal use","For massage wand usage, how likely are you to recommend the use of this object to others?","For silk scarves and necktie usage, rate your satisfaction for personal use","For silk scarves and neck tie usage, how likely are you to recommend the use of this object to others?","For ice cube usage, rate your satisfaction for personal use","For ice cube usage, how likely are you to recommend the use of this object to others?","For produce usage, rate your satisfaction for personal use","For produce usage, how likely are you to recommend the use of this object to others?","For furniture usage, rate your satisfaction for personal use","For furniture usage, how likely are you to recommend the use of this object to others?","For pillow usage, rate your satisfaction for personal use","For pillow usage, how likely are you to recommend the use of this object to others?","For usage of item inputted under 'other', rate your satisfaction for personal use","For usage of item inputted under 'other', how likely are you to recommend the use of this object to others?","What is the estimated cost of each of the household item(s) used for sexual pleasure?","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Material safety (allergies & sensitivity))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Cleanliness & hygiene (infection))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Lubricant compatibility (trauma/injury))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Storage & maintenance)","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Power source safety (electric shock, overheating))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=None of the Above)","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Other (enter below))","Please list other concern:",Complete?
22,,"2023-06-24 16:11:15","I consent to participate in this research study",Yes,Yes,"United States",,25-35,Male,Male,,"Full-time employed",,"Technology and Information Technology (IT):",,"Over $100,000",No,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,None,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
23,,"2023-06-24 16:12:32","I consent to participate in this research study",Yes,Yes,"United States",,65+,Male,Male,,Retired,,"Other (enter below)","Construction and manufacturing ","$75,000 - $99,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,75,,,,,,50,,,,,,,,,,,,">$5 - $10",Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
24,,"2023-06-24 16:14:30","I consent to participate in this research study",Yes,Yes,"United States",,35-45,Female,Female,,"Full-time employed",,"Sales and Marketing:",,"Over $100,000",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,,,,65,,,,,,,,,,,,,,77,,,,">$20 - $50",Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
25,,"2023-06-24 16:12:58","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
26,,"2023-06-24 16:16:36","I consent to participate in this research study",Yes,Yes,"Other (enter below)",Brazil,18-25,Male,nonbinary,,"Part-time employed",,"Healthcare and Medical",,,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"hair brush",,,65,,,,,,,,,,,,,,,,71,,">$5 - $10",Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
27,,"[not completed]","I consent to participate in this research study",Yes,Yes,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
28,,"2023-06-24 16:32:11","I consent to participate in this research study",Yes,Yes,"Other (enter below)",,18-25,Male,Male,,"Full-time employed",,"Technology and Information Technology (IT):",,"$35,000 - $49,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,66,,,,,,,,,,,,,,,,,,"Over $100",Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Complete
29,,"2023-06-24 16:34:08","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
30,,"2023-06-24 16:35:52","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
31,,"2023-06-24 16:36:36","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
32,,"2023-06-24 16:44:12","I consent to participate in this research study",Yes,Yes,"United States",,25-35,Male,Female,,Self-employed,,"Arts and Entertainment:",,"Over $100,000",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Checked,"wood carving",95,,88,,,,89,,,,67,,63,,,,,30,72,,">$20 - $50",Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,,Complete
33,,"[not completed]","I consent to participate in this research study",Yes,Yes,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
34,,"2023-06-24 16:45:18","I consent to participate in this research study",Yes,Yes,"Other (enter below)","Aotearoa New Zealand",18-25,Female,"Prefer not to say",,Unemployed,,"Science and Research:",,"Over $100,000",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,"Water bottles",,,36,,,,,,62,,64,,25,,,,,,79,,">$5 - $10",Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Complete
35,,"2023-06-24 16:49:52","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
36,,"2023-06-24 16:53:19","I consent to participate in this research study",Yes,No,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
37,,"[not completed]","I consent to participate in this research study",Yes,Yes,"United States",,18-25,Male,Male,,"Full-time employed",,"Other (enter below)",,,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked," brush",,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
38,,"[not completed]","I consent to participate in this research study",,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
39,,"[not completed]","I consent to participate in this research study",,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
40,,"2023-06-24 17:16:43","I consent to participate in this research study",Yes,Yes,"United States",,18-25,Female,Female,,"Part-time employed",,"Food Preparation and Serving Related Occupations:",,"$50,000 - $74,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,,100,,84,,,,,,,,63,,31,,,,,,,,">$10 - $20",Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
41,,"2023-06-24 17:26:01","I consent to participate in this research study",Yes,Yes,"United States",,25-35,Male,Male,,"Part-time employed",,"Arts and Entertainment:",,"Less than $14,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,,,,78,,,,,,,,92,,,,78,,80,,,,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
42,,"2023-06-24 17:26:16","I consent to participate in this research study",Yes,Yes,"Other (enter below)",,45-55,Male,Male,,"Full-time employed",,"Technology and Information Technology (IT):",,"Over $100,000",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"hairbrush handle",,,,,,,,,,,,,,,,,,,81,,"Less than or equal to $5",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
43,,"2023-06-24 17:26:49","I consent to participate in this research study",Yes,Yes,"United States",,25-35,Male,Male,,"Full-time employed",,Engineering:,,"$75,000 - $99,999",No,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,67,,,,,,,,,,,,,,,,,,">$20 - $50",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
44,,"2023-06-24 17:32:13","I consent to participate in this research study",Yes,Yes,"Other (enter below)",Canada,18-25,Female,Female,,Student,,Legal:,,,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,"Hair brush",,,,,,,,,,,79,,,,,,,,95,,">$5 - $10",Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
